geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
48,ACO1,0.628,0.577,3.8322e-18,Enzyme,DTO_05007624,53,42
49,ACR,0.493,0.846,0.012215,Enzyme,DTO_05007624,230,326
50,ACO2,0.619,0.654,0.20791,Enzyme,DTO_05007624,74,37
51,ACOX1,0.61,0.731,0.062095,Enzyme,DTO_05007624,95,39
53,ACP2,0.78,0.346,6.2383e-05,Enzyme,DTO_05007624,16,8
55,ACP3,0.525,0.731,2.5463e-16,Enzyme,DTO_05007624,151,158
58,ACTA1,0.54,0.769,1.1385e-06,Cellular structure,DTO_05007530,217,109
59,ACTA2,0.508,0.846,0.93017,Cellular structure,DTO_05007530,200,138
60,ACTB,0.325,0.923,0.98564,Cellular structure,DTO_05007530,1110,2413
70,ACTC1,0.61,0.538,0.73668,Cellular structure,DTO_05007530,69,72
71,ACTG1,0.477,0.846,0.0047837,Cellular structure,DTO_05007530,291,227
72,ACTG2,0.505,0.808,0.071036,Cellular structure,DTO_05007530,205,178
86,ACTL6A,0.678,0.346,0.99665,Cellular structure,DTO_05007530,46,15
90,ACVR1,0.535,0.731,0.3254,Kinase,DTO_03300101,144,171
91,ACVR1B,0.663,0.385,0.99969,Kinase,DTO_03300101,41,30
92,ACVR2A,0.636,0.615,0.99972,Kinase,DTO_03300101,62,49
93,ACVR2B,0.601,0.615,0.83412,Kinase,DTO_03300101,70,40
94,ACVRL1,0.493,0.769,0.00096719,Kinase,DTO_03300101,224,279
98,ACYP2,0.659,0.577,6.5331e-05,Enzyme,DTO_05007624,42,25
100,ADA,0.44,0.885,2.8825e-12,Enzyme,DTO_05007624,379,560
101,ADAM8,0.59,0.731,2.1983e-14,Enzyme,DTO_05007624,81,49
103,ADAR,0.501,0.808,0.026282,Enzyme,DTO_05007624,256,191
104,ADARB1,0.588,0.654,0.80347,Enzyme,DTO_05007624,85,65
105,ADARB2,0.716,0.308,0.85603,Enzyme,DTO_05007624,33,17
116,ADCYAP1,0.51,0.846,0.52424,Signaling,DTO_05007599,220,198
117,ADCYAP1R1,0.561,0.769,7.2275e-10,G-protein coupled receptor,DTO_02300001,118,96
118,ADD1,0.612,0.615,0.9883,Cellular structure,DTO_05007530,67,133
119,ADD2,0.678,0.615,0.9961,Cellular structure,DTO_05007530,29,27
120,ADD3,0.641,0.5,0.9988,Cellular structure,DTO_05007530,54,27
123,PLIN2,0.564,0.692,7.5281e-09,Transporter,DTO_05007405,100,87
124,ADH1A,0.647,0.577,1.7118e-11,Enzyme,DTO_05007624,50,44
125,ADH1B,0.502,0.846,9.934e-07,Enzyme,DTO_05007624,224,360
127,ADH4,0.641,0.462,8.0684e-07,Enzyme,DTO_05007624,53,55
128,ADH5,0.604,0.731,2.5356e-11,Enzyme,DTO_05007624,65,52
130,ADH6,0.78,0.231,1.6373e-06,Enzyme,DTO_05007624,15,10
131,ADH7,0.656,0.462,1.5123e-11,Enzyme,DTO_05007624,42,36
132,ADK,0.584,0.769,0.00031276,Kinase,DTO_03300101,102,61
133,ADM,0.436,0.808,0.040831,Signaling,DTO_05007599,405,420
134,ADORA1,0.578,0.692,0.015215,G-protein coupled receptor,DTO_02300001,121,76
135,ADORA2A,0.526,0.769,0.5971,G-protein coupled receptor,DTO_02300001,213,151
136,ADORA2B,0.617,0.692,1.7674e-05,G-protein coupled receptor,DTO_02300001,66,44
140,ADORA3,0.682,0.5,0.0001441,G-protein coupled receptor,DTO_02300001,36,25
141,ADPRH,0.805,0.231,2.991e-06,Enzyme,DTO_05007624,10,9
146,ADRA1D,0.636,0.731,4.0117e-05,G-protein coupled receptor,DTO_02300001,48,43
147,ADRA1B,0.686,0.5,0.13541,G-protein coupled receptor,DTO_02300001,55,18
148,ADRA1A,0.462,0.846,3.3722e-07,G-protein coupled receptor,DTO_02300001,294,466
150,ADRA2A,0.578,0.615,0.00081816,G-protein coupled receptor,DTO_02300001,102,105
151,ADRA2B,0.465,0.846,4.4533e-06,G-protein coupled receptor,DTO_02300001,296,454
152,ADRA2C,0.682,0.346,0.50159,G-protein coupled receptor,DTO_02300001,40,34
153,ADRB1,0.555,0.769,2.8786e-06,G-protein coupled receptor,DTO_02300001,130,205
154,ADRB2,0.442,0.923,0.52545,G-protein coupled receptor,DTO_02300001,387,662
155,ADRB3,0.533,0.731,2.4637e-07,G-protein coupled receptor,DTO_02300001,142,212
156,GRK2,0.532,0.654,0.99998,Kinase,DTO_03300101,159,152
157,GRK3,0.621,0.731,0.71059,Kinase,DTO_03300101,56,32
158,ADSL,0.631,0.654,8.9207e-12,Enzyme,DTO_05007624,84,46
159,ADSS2,0.839,0.308,0.32971,Enzyme,DTO_05007624,11,6
160,AP2A1,0.641,0.5,1.0,Receptor,DTO_05007575,50,40
161,AP2A2,0.76,0.423,1.0,Receptor,DTO_05007575,11,6
162,AP1B1,0.716,0.385,0.99828,Transporter,DTO_05007405,23,8
163,AP2B1,0.711,0.423,0.9983,Transporter,DTO_05007405,35,21
164,AP1G1,0.89,0.115,0.99998,Receptor,DTO_05007575,7,5
166,TLE5,0.695,0.538,0.93594,Transcription factor,DTO_05007542,32,29
167,CRISP1,0.78,0.231,1.8344e-06,Immune response,DTO_05007608,11,6
173,AFM,0.59,0.731,4.2654e-19,Transporter,DTO_05007405,86,63
174,AFP,0.429,0.885,1.1383e-11,Transporter,DTO_05007405,392,1785
175,AGA,0.57,0.808,4.2802e-06,Enzyme,DTO_05007624,143,118
176,ACAN,0.528,0.846,1.0,Extracellular structure,DTO_05007621,187,297
177,AGER,0.42,0.885,6.3528e-16,Receptor,DTO_05007575,450,757
178,AGL,0.644,0.615,2.7564e-27,Enzyme,DTO_05007624,59,100
181,AGRP,0.488,0.769,0.00069912,Signaling,DTO_05007599,233,372
183,AGT,0.367,0.923,4.9706e-08,Enzyme modulator,DTO_05007584,765,2593
185,AGTR1,0.423,0.846,0.00053161,G-protein coupled receptor,DTO_02300001,440,950
186,AGTR2,0.496,0.808,0.0082345,G-protein coupled receptor,DTO_02300001,229,197
187,APLNR,0.588,0.692,0.78907,G-protein coupled receptor,DTO_02300001,94,101
189,AGXT,0.593,0.731,1.2332e-07,Enzyme,DTO_05007624,94,164
190,NR0B1,0.494,0.808,0.97025,Nuclear receptor,DTO_00102000,222,448
191,AHCY,0.582,0.692,0.035922,Enzyme,DTO_05007624,107,50
196,AHR,0.41,0.923,0.99999,Transcription factor,DTO_05007542,532,719
197,AHSG,0.506,0.846,3.209e-10,Enzyme modulator,DTO_05007584,204,191
199,AIF1,0.521,0.808,1.8793e-06,Calcium-binding protein,DTO_05007616,166,194
203,AK1,0.711,0.5,0.027319,Kinase,DTO_03300101,20,22
204,AK2,0.678,0.423,6.2706e-05,Kinase,DTO_03300101,54,10
205,AK4,0.705,0.462,0.13353,Kinase,DTO_03300101,27,12
207,AKT1,0.311,0.962,0.9759,Kinase,DTO_03300101,1250,4604
208,AKT2,0.474,0.769,0.64432,Kinase,DTO_03300101,264,348
210,ALAD,0.556,0.615,5.6185e-05,Enzyme,DTO_05007624,135,69
211,ALAS1,0.705,0.462,0.10979,Enzyme,DTO_05007624,27,32
212,ALAS2,0.606,0.577,0.99586,Enzyme,DTO_05007624,79,104
213,ALB,0.317,0.962,0.64329,Transporter,DTO_05007405,1198,3347
214,ALCAM,0.502,0.808,0.73267,Cell adhesion,DTO_05007620,181,150
215,ABCD1,0.563,0.731,0.99896,Transporter,DTO_05007405,154,321
216,ALDH1A1,0.46,0.846,0.95448,Enzyme,DTO_05007624,270,424
217,ALDH2,0.457,0.885,3.3959e-10,Enzyme,DTO_05007624,337,677
219,ALDH1B1,0.691,0.462,2.6981e-06,Enzyme,DTO_05007624,31,21
220,ALDH1A3,0.578,0.654,0.14128,Enzyme,DTO_05007624,83,69
223,ALDH9A1,0.76,0.269,1.0995e-11,Enzyme,DTO_05007624,17,5
225,ABCD2,0.711,0.5,4.7079e-06,Transporter,DTO_05007405,25,46
231,AKR1B1,0.491,0.885,2.0216e-05,Enzyme,DTO_05007624,220,382
238,ALK,0.396,0.846,3.2299e-06,Kinase,DTO_03300101,519,2563
239,ALOX12,0.558,0.692,1.4397e-15,Enzyme,DTO_05007624,119,97
240,ALOX5,0.447,0.885,1.2059e-06,Enzyme,DTO_05007624,342,400
241,ALOX5AP,0.612,0.731,0.070729,Enzyme,DTO_05007624,76,122
242,ALOX12B,0.603,0.577,0.00075626,Enzyme,DTO_05007624,80,22
246,ALOX15,0.502,0.846,1.1397e-23,Enzyme,DTO_05007624,205,207
247,ALOX15B,0.663,0.462,1.4819e-18,Enzyme,DTO_05007624,42,33
248,ALPI,0.563,0.769,2.4527e-18,Enzyme,DTO_05007624,98,106
249,ALPL,0.546,0.769,0.0003636,Enzyme,DTO_05007624,190,232
250,ALPP,0.487,0.808,1.8144e-13,Enzyme,DTO_05007624,209,244
251,ALPG,0.691,0.269,1.4933e-11,Enzyme,DTO_05007624,28,23
258,AMBN,0.716,0.231,1.0497e-09,Cellular structure,DTO_05007530,23,21
262,AMD1,0.593,0.577,0.98227,Enzyme,DTO_05007624,84,137
269,AMHR2,0.638,0.423,2.7013e-10,Kinase,DTO_03300101,52,62
270,AMPD1,0.573,0.692,1.9098999999999998e-21,Enzyme,DTO_05007624,106,77
271,AMPD2,0.663,0.577,4.5084e-07,Enzyme,DTO_05007624,60,17
272,AMPD3,0.743,0.385,1.1323e-12,Enzyme,DTO_05007624,40,27
284,ANGPT1,0.446,0.808,0.95208,Signaling,DTO_05007599,340,469
285,ANGPT2,0.41,0.846,0.83208,Signaling,DTO_05007599,457,714
290,ANPEP,0.462,0.769,3.7492e-09,Enzyme,DTO_05007624,280,363
291,SLC25A4,0.568,0.692,0.45334,Transporter,DTO_05007405,160,77
292,SLC25A5,0.736,0.346,0.93194,Transporter,DTO_05007405,29,23
293,SLC25A6,0.769,0.231,0.13859,Transporter,DTO_05007405,19,17
316,AOX1,0.716,0.308,1.171e-31,Enzyme,DTO_05007624,26,17
318,NUDT2,0.78,0.154,0.0057495,Enzyme,DTO_05007624,16,4
320,APBA1,0.743,0.346,0.53701,Transporter,DTO_05007405,21,31
321,APBA2,0.7,0.385,0.74272,Transporter,DTO_05007405,31,31
327,APEH,0.666,0.577,5.0018e-13,Enzyme,DTO_05007624,36,28
329,BIRC2,0.535,0.731,0.42708,Enzyme modulator,DTO_05007584,125,117
330,BIRC3,0.491,0.769,0.065597,Enzyme modulator,DTO_05007584,209,248
331,XIAP,0.447,0.808,0.91837,Enzyme modulator,DTO_05007584,321,495
332,BIRC5,0.495,0.731,0.055854,Enzyme modulator,DTO_05007584,199,290
333,APLP1,0.76,0.308,0.12235,Enzyme modulator,DTO_05007584,17,16
334,APLP2,0.659,0.462,0.37966,Enzyme modulator,DTO_05007584,44,27
336,APOA2,0.582,0.769,0.0448,Transporter,DTO_05007405,77,88
339,APOBEC1,0.647,0.385,1.6791e-08,Enzyme,DTO_05007624,45,28
343,AQP8,0.638,0.615,0.00036707,Ion channel,DTO_01300327,43,26
351,APP,0.422,0.846,0.046544,Enzyme modulator,DTO_05007584,485,3674
354,KLK3,0.443,0.885,4.4271e-06,Enzyme,DTO_05007624,358,3069
356,FASLG,0.43,0.885,0.18345,Signaling,DTO_05007599,398,391
358,AQP1,0.467,0.885,2.5697e-07,Ion channel,DTO_01300327,268,195
359,AQP2,0.581,0.769,2.4855e-06,Ion channel,DTO_01300327,114,190
360,AQP3,0.546,0.769,0.13398,Ion channel,DTO_01300327,124,111
361,AQP4,0.456,0.885,0.0022919,Ion channel,DTO_01300327,311,639
362,AQP5,0.552,0.769,0.053249,Ion channel,DTO_01300327,119,105
363,AQP6,0.695,0.577,0.015875,Ion channel,DTO_01300327,26,21
364,AQP7,0.67,0.462,4.0504e-16,Ion channel,DTO_01300327,34,39
366,AQP9,0.565,0.808,0.24027,Ion channel,DTO_01300327,100,66
367,AR,0.351,0.846,0.98837,Nuclear receptor,DTO_00102000,854,4657
368,ABCC6,0.54,0.654,5.6167e-35,Transporter,DTO_05007405,181,221
369,ARAF,0.619,0.654,0.96322,Kinase,DTO_03300101,56,43
372,ARCN1,0.705,0.462,0.99997,Transporter,DTO_05007405,39,6
374,AREG,0.487,0.769,0.35407,Signaling,DTO_05007599,221,280
383,ARG1,0.476,0.846,0.00035944,Enzyme,DTO_05007624,273,309
384,ARG2,0.569,0.731,0.00018207,Enzyme,DTO_05007624,103,80
387,RHOA,0.502,0.808,0.60405,Enzyme modulator,DTO_05007584,193,201
388,RHOB,0.653,0.423,0.12253,Enzyme modulator,DTO_05007584,41,35
389,RHOC,0.641,0.308,0.76766,Enzyme modulator,DTO_05007584,50,58
390,RND3,0.656,0.385,0.96682,Enzyme modulator,DTO_05007584,46,33
391,RHOG,0.89,0.192,0.42952,Enzyme modulator,DTO_05007584,6,6
393,ARHGAP4,0.736,0.5,0.97693,Enzyme modulator,DTO_05007584,20,15
395,ARHGAP6,0.769,0.269,0.99845,Cellular structure,DTO_05007530,17,8
396,ARHGDIA,0.663,0.577,0.03642,Enzyme modulator,DTO_05007584,51,32
397,ARHGDIB,0.633,0.654,0.0006377,Enzyme modulator,DTO_05007584,56,45
398,ARHGDIG,0.931,0.077,0.92154,Enzyme modulator,DTO_05007584,2,1
399,RHOH,0.666,0.462,0.14861,Enzyme modulator,DTO_05007584,42,29
405,ARNT,0.575,0.692,0.99581,Transcription factor,DTO_05007542,104,97
406,ARNTL,0.51,0.885,0.99444,Transcription factor,DTO_05007542,200,213
407,ARR3,0.46,0.846,0.10401,Enzyme modulator,DTO_05007584,279,466
408,ARRB1,0.588,0.846,0.99394,Enzyme modulator,DTO_05007584,92,70
409,ARRB2,0.561,0.769,0.50658,Enzyme modulator,DTO_05007584,119,85
410,ARSA,0.448,0.923,1.0893e-11,Enzyme,DTO_05007624,376,562
412,STS,0.431,0.846,0.80886,Enzyme,DTO_05007624,382,488
414,ARSD,0.535,0.808,0.0016285,Enzyme,DTO_05007624,163,284
415,ARSL,0.663,0.654,0.58982,Enzyme,DTO_05007624,49,34
416,ARSF,0.663,0.615,3.1126e-14,Enzyme,DTO_05007624,41,28
421,ARVCF,0.54,0.769,5.0422e-11,Cellular structure,DTO_05007530,151,19
427,ASAH1,0.526,0.808,1.2588e-12,Enzyme,DTO_05007624,176,137
429,ASCL1,0.552,0.692,0.67692,Transcription factor,DTO_05007542,136,134
430,ASCL2,0.691,0.423,0.34557,Transcription factor,DTO_05007542,38,33
432,ASGR1,0.805,0.192,3.8718e-15,Receptor,DTO_05007575,15,13
434,ASIP,0.584,0.692,0.016298,Signaling,DTO_05007599,89,77
435,ASL,0.593,0.731,8.5727e-10,Enzyme,DTO_05007624,99,102
439,GET3,1.0,0.038,0.94316,Enzyme,DTO_05007624,1,1
440,ASNS,0.595,0.692,9.3611e-06,Enzyme,DTO_05007624,90,77
445,ASS1,0.523,0.731,1.5095e-09,Enzyme,DTO_05007624,163,193
462,SERPINC1,0.507,0.769,0.99892,Enzyme modulator,DTO_05007584,184,266
467,ATF3,0.494,0.885,0.089296,Transcription factor,DTO_05007542,228,210
471,ATIC,0.576,0.731,3.0109000000000005e-19,Enzyme,DTO_05007624,100,50
472,ATM,0.374,0.885,5.5884e-47,Kinase,DTO_03300101,684,1907
474,ATOH1,0.633,0.5,0.017833,Enzyme,DTO_05007624,53,49
476,ATP1A1,0.601,0.808,1.0,Transporter,DTO_05007405,89,54
477,ATP1A2,0.597,0.615,0.00018093,Transporter,DTO_05007405,102,124
478,ATP1A3,0.544,0.615,1.0,Transporter,DTO_05007405,174,132
479,ATP12A,0.575,0.769,7.1254e-14,Transporter,DTO_05007405,102,120
480,ATP1A4,0.805,0.269,2.1395e-20,Transporter,DTO_05007405,8,6
481,ATP1B1,0.7,0.462,0.99881,Transporter,DTO_05007405,34,22
482,ATP1B2,0.705,0.308,0.073684,Transporter,DTO_05007405,28,14
483,ATP1B3,0.78,0.154,0.10244,Transporter,DTO_05007405,14,7
486,FXYD2,0.78,0.346,0.11431,Transporter,DTO_05007405,20,15
487,ATP2A1,0.682,0.423,1.5354e-14,Transporter,DTO_05007405,46,40
488,ATP2A2,0.529,0.808,0.99945,Transporter,DTO_05007405,159,178
489,ATP2A3,0.617,0.577,2.247e-09,Transporter,DTO_05007405,61,44
490,ATP2B1,0.666,0.5,1.0,Transporter,DTO_05007405,57,71
491,ATP2B2,0.659,0.731,1.0,Transporter,DTO_05007405,51,52
492,ATP2B3,0.631,0.692,0.99945,Transporter,DTO_05007405,72,35
493,ATP2B4,0.659,0.577,0.0015112,Transporter,DTO_05007405,48,38
495,ATP4A,0.575,0.769,9.4424e-12,Transporter,DTO_05007405,101,118
496,ATP4B,0.76,0.269,4.6372e-05,Transporter,DTO_05007405,13,10
498,ATP5F1A,0.604,0.731,0.99945,Transporter,DTO_05007405,84,50
501,ALDH7A1,0.551,0.769,1.3923e-22,Enzyme,DTO_05007624,141,143
506,ATP5F1B,0.626,0.654,0.97679,Transporter,DTO_05007405,62,33
509,ATP5F1C,0.89,0.115,0.00079192,Transporter,DTO_05007405,5,2
513,ATP5F1D,0.674,0.5,0.073813,Transporter,DTO_05007405,69,12
514,ATP5F1E,0.686,0.5,0.0088748,Transporter,DTO_05007405,37,28
521,ATP5ME,1.0,0.038,0.085765,Transporter,DTO_05007405,1,1
522,ATP5PF,0.716,0.538,0.006131,Transporter,DTO_05007405,26,23
523,ATP6V1A,0.579,0.615,0.86801,Transporter,DTO_05007405,147,6
525,ATP6V1B1,0.695,0.346,2.3997e-09,Transporter,DTO_05007405,30,54
526,ATP6V1B2,0.606,0.577,0.99154,Transporter,DTO_05007405,101,12
527,ATP6V0C,0.78,0.154,0.74232,Transporter,DTO_05007405,18,8
528,ATP6V1C1,0.821,0.192,0.00015353,Transporter,DTO_05007405,13,4
529,ATP6V1E1,0.61,0.769,0.528,Transporter,DTO_05007405,105,13
533,ATP6V0B,0.931,0.115,0.96895,Transporter,DTO_05007405,3,2
534,ATP6V1G2,0.839,0.269,0.0028604,Transporter,DTO_05007405,7,8
535,ATP6V0A1,0.821,0.192,0.99797,Transporter,DTO_05007405,11,5
538,ATP7A,0.494,0.769,0.99983,Transporter,DTO_05007405,348,231
540,ATP7B,0.529,0.654,4.8001e-30,Transporter,DTO_05007405,182,542
545,ATR,0.456,0.923,3.5177e-09,Kinase,DTO_03300101,321,317
547,KIF1A,0.559,0.692,1.0,Cellular structure,DTO_05007530,187,49
549,AUH,0.686,0.346,8.024e-06,Enzyme,DTO_05007624,42,17
551,AVP,0.437,0.846,0.074413,Signaling,DTO_05007599,454,798
552,AVPR1A,0.663,0.5,6.8987e-07,G-protein coupled receptor,DTO_02300001,51,61
553,AVPR1B,0.705,0.385,0.00037047,G-protein coupled receptor,DTO_02300001,29,21
554,AVPR2,0.568,0.769,0.55589,G-protein coupled receptor,DTO_02300001,134,212
558,AXL,0.489,0.615,0.012951,Kinase,DTO_03300101,203,273
566,AZU1,0.636,0.692,3.9068e-05,Enzyme,DTO_05007624,56,59
567,B2M,0.447,0.846,0.56167,Immune response,DTO_05007608,352,382
575,ADGRB1,0.695,0.231,1.0,G-protein coupled receptor,DTO_02300001,34,27
576,ADGRB2,0.89,0.192,0.99982,G-protein coupled receptor,DTO_02300001,13,5
577,ADGRB3,0.736,0.192,1.0,G-protein coupled receptor,DTO_02300001,26,10
578,BAK1,0.555,0.769,7.4028e-06,Signaling,DTO_05007599,115,116
579,NKX3-2,0.736,0.308,0.63821,Transcription factor,DTO_05007542,31,7
581,BAX,0.417,0.885,0.31746,Signaling,DTO_05007599,420,1053
586,BCAT1,0.606,0.538,3.7984e-08,Enzyme,DTO_05007624,62,43
587,BCAT2,0.686,0.385,2.826e-12,Enzyme,DTO_05007624,30,11
594,BCKDHB,0.682,0.5,4.3112e-09,Enzyme,DTO_05007624,50,79
595,CCND1,0.344,0.923,0.89057,Enzyme modulator,DTO_05007584,859,2863
596,BCL2,0.291,0.885,0.55903,Signaling,DTO_05007599,1456,6601
597,BCL2A1,0.529,0.731,0.20785,Signaling,DTO_05007599,150,135
598,BCL2L1,0.493,0.885,0.93667,Signaling,DTO_05007599,212,224
599,BCL2L2,0.599,0.615,0.46908,Signaling,DTO_05007599,66,44
608,TNFRSF17,0.588,0.692,1.3715e-06,Receptor,DTO_05007575,81,98
610,HCN2,0.653,0.385,0.48885,Ion channel,DTO_01300327,46,39
611,OPN1SW,0.519,0.769,0.021134,G-protein coupled receptor,DTO_02300001,164,256
613,BCR,0.431,0.885,0.98761,Enzyme modulator,DTO_05007584,392,1601
622,BDH1,0.729,0.423,7.5703e-08,Enzyme,DTO_05007624,23,14
623,BDKRB1,0.619,0.731,0.0046897,G-protein coupled receptor,DTO_02300001,79,53
624,BDKRB2,0.585,0.808,0.11863,G-protein coupled receptor,DTO_02300001,105,71
627,BDNF,0.345,0.923,0.65626,Signaling,DTO_05007599,992,3258
640,BLK,0.585,0.769,8.348e-14,Kinase,DTO_03300101,86,96
642,BLMH,0.716,0.423,0.12878,Enzyme,DTO_05007624,22,25
643,CXCR5,0.524,0.769,0.72861,G-protein coupled receptor,DTO_02300001,146,142
644,BLVRA,0.663,0.423,0.00034786,Enzyme,DTO_05007624,34,28
645,BLVRB,0.695,0.423,4.1869e-06,Enzyme,DTO_05007624,31,18
646,BNC1,0.736,0.423,0.96479,Nucleic acid binding,DTO_05007557,21,16
650,BMP2,0.432,0.846,0.98799,Signaling,DTO_05007599,428,434
651,BMP3,0.678,0.423,0.056398,Signaling,DTO_05007599,32,25
652,BMP4,0.422,0.808,0.9564,Signaling,DTO_05007599,423,380
653,BMP5,0.653,0.577,0.00090084,Signaling,DTO_05007599,43,26
654,BMP6,0.531,0.808,0.75947,Signaling,DTO_05007599,137,123
655,BMP7,0.498,0.769,0.12727,Signaling,DTO_05007599,197,219
656,BMP8B,0.792,0.192,0.0001897,Signaling,DTO_05007599,12,6
657,BMPR1A,0.522,0.731,0.90333,Kinase,DTO_03300101,203,112
658,BMPR1B,0.573,0.615,0.99863,Kinase,DTO_03300101,145,45
659,BMPR2,0.538,0.654,0.99998,Kinase,DTO_03300101,146,333
660,BMX,0.663,0.385,0.006673,Kinase,DTO_03300101,38,24
666,BOK,0.722,0.346,0.16279,Signaling,DTO_05007599,27,14
667,DST,0.552,0.846,1.0,Cellular structure,DTO_05007530,147,174
668,FOXL2,0.542,0.692,0.87762,Transcription factor,DTO_05007542,137,198
672,BRCA1,0.367,0.923,9.2157e-29,Enzyme,DTO_05007624,747,6261
673,BRAF,0.319,0.846,0.99995,Kinase,DTO_03300101,1228,5616
675,BRCA2,0.379,0.846,2.3581e-25,Nucleic acid binding,DTO_05007557,656,3810
676,BRDT,0.751,0.231,5.7616e-09,Epigenetic regulator,DTO_05007378,17,11
677,ZFP36L1,0.659,0.5,0.67406,Nucleic acid binding,DTO_05007557,43,26
678,ZFP36L2,0.686,0.5,0.966,Nucleic acid binding,DTO_05007557,34,14
680,BRS3,0.474,0.846,0.94849,G-protein coupled receptor,DTO_02300001,261,434
683,BST1,0.67,0.423,4.2099e-11,Enzyme,DTO_05007624,41,47
685,BTC,0.644,0.577,0.062276,Signaling,DTO_05007599,51,45
686,BTD,0.628,0.654,1.4972e-07,Enzyme,DTO_05007624,90,109
687,KLF9,0.595,0.577,0.88783,Nucleic acid binding,DTO_05007557,77,54
688,KLF5,0.534,0.769,0.8181,Nucleic acid binding,DTO_05007557,143,163
695,BTK,0.464,0.808,0.99996,Kinase,DTO_03300101,290,687
696,BTN1A1,0.839,0.346,1.9496e-08,Enzyme modulator,DTO_05007584,9,18
699,BUB1,0.528,0.731,4.8813e-09,Kinase,DTO_03300101,162,76
701,BUB1B,0.502,0.808,6.998e-10,Kinase,DTO_03300101,231,104
710,SERPING1,0.507,0.769,0.96351,Enzyme modulator,DTO_05007584,207,464
715,C1R,0.638,0.654,0.77888,Enzyme,DTO_05007624,96,17
716,C1S,0.705,0.462,0.00067654,Enzyme,DTO_05007624,43,15
718,C3,0.445,0.885,0.90421,Enzyme modulator,DTO_05007584,343,385
719,C3AR1,0.601,0.731,3.3053e-09,G-protein coupled receptor,DTO_02300001,73,55
720,C4A,0.563,0.769,1.5416e-11,Enzyme modulator,DTO_05007584,145,89
721,C4B,0.603,0.808,0.83464,Enzyme modulator,DTO_05007584,66,100
726,CAPN5,0.663,0.615,2.5197e-08,Enzyme,DTO_05007624,46,24
727,C5,0.55,0.731,8.079e-24,Enzyme modulator,DTO_05007584,129,128
728,C5AR1,0.513,0.808,0.40249,G-protein coupled receptor,DTO_02300001,179,169
740,MRPL49,0.89,0.115,0.00031078,Nucleic acid binding,DTO_05007557,3,4
741,ZNHIT2,0.805,0.115,2.2483e-05,Transcription factor,DTO_05007542,7,4
744,MPPED2,0.78,0.385,0.99349,Enzyme,DTO_05007624,20,13
758,MPPED1,1.0,0.038,0.0019823,Enzyme,DTO_05007624,2,2
773,CACNA1A,0.489,0.769,1.0,Ion channel,DTO_01300327,320,442
774,CACNA1B,0.65,0.577,0.99998,Ion channel,DTO_01300327,79,22
775,CACNA1C,0.51,0.846,1.0,Ion channel,DTO_01300327,225,262
776,CACNA1D,0.582,0.577,1.0,Ion channel,DTO_01300327,116,77
777,CACNA1E,0.65,0.577,1.0,Ion channel,DTO_01300327,63,29
778,CACNA1F,0.595,0.5,1.2337e-05,Ion channel,DTO_01300327,81,66
779,CACNA1S,0.595,0.692,6.2588e-12,Ion channel,DTO_01300327,118,96
